casilla_id,municipio,df,dl,casilla,ubicación,capturista_id,id
57,1,7,15,21 B,"DOMICILIO PARTICULAR, AVENIDA REFORMA, NÚMERO 246, COLONIA POPULAR VALLE VERDE 1, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES SONORA Y QUERÉTARO.",1,57
58,1,7,15,21 C1,"DOMICILIO PARTICULAR, AVENIDA REFORMA, NÚMERO 246, COLONIA POPULAR VALLE VERDE 1, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES SONORA Y QUERÉTARO.",1,58
59,1,7,15,22 B,"ESCUELA PRIMARIA FEDERAL BENEMÉRITO DE LAS AMÉRICAS, CALLE ALBERTO RODRÍGUEZ, SIN NÚMERO, COLONIA BENITO JUÁREZ, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE CLAUDIO SARABIA.",1,59
60,1,7,15,22 C1,"ESCUELA PRIMARIA FEDERAL BENEMÉRITO DE LAS AMÉRICAS, CALLE ALBERTO RODRÍGUEZ, SIN NÚMERO, COLONIA BENITO JUÁREZ, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ESQUINA CON CALLE CLAUDIO SARABIA.",1,60
61,1,7,15,23 B,"CRUZ ROJA MEXICANA DELEGACIÓN ENSENADA, AVENIDA GENERAL JOSÉ DE JESÚS CLARK FLORES, NÚMERO 628, COLONIA AMPLIACIÓN MODERNA, CÓDIGO POSTAL 22879, ENSENADA, BAJA CALIFORNIA, ESQUINA CON AVENIDA BELGRADO",1,61
62,1,7,15,23 C1,"CRUZ ROJA MEXICANA DELEGACIÓN ENSENADA, AVENIDA GENERAL JOSÉ DE JESÚS CLARK FLORES, NÚMERO 628, COLONIA AMPLIACIÓN MODERNA, CÓDIGO POSTAL 22879, ENSENADA, BAJA CALIFORNIA, ESQUINA CON AVENIDA BELGRADO",1,62
63,1,7,15,24 B,"CENTRO COMERCIAL, AVENIDA 20 DE NOVIEMBRE, NÚMERO 1074, COLONIA AZTECA, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES DIEZ Y ONCE A UN COSTADO DE EX MERCADOS PRECIADO.",1,63
64,1,7,15,24 C1,"CENTRO COMERCIAL, AVENIDA 20 DE NOVIEMBRE, NÚMERO 1074, COLONIA AZTECA, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES DIEZ Y ONCE A UN COSTADO DE EX MERCADOS PRECIADO.",1,64
65,1,7,15,25 B,"CAMPO DE FUTBOL GIL OJEDA, CALLE 15, NÚMERO 292, ZONA CENTRO, CÓDIGO POSTAL 22800, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA OBREGÓN Y AVENIDA RYERSON",1,65
66,1,7,15,25 C1,"CAMPO DE FUTBOL GIL OJEDA, CALLE 15, NÚMERO 292, ZONA CENTRO, CÓDIGO POSTAL 22800, ENSENADA, BAJA CALIFORNIA, ENTRE AVENIDA OBREGÓN Y AVENIDA RYERSON",1,66
